exchangeName,exchangeProtocol,buySymbol,buyAddress,buyNumTokens,sellSymbol,sellAddress,sellNumTokens,numTrades,tradeAmount,date
Uniswap,Uniswap v3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17.847328626913725,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,34603.432119525016,21,48656.250947060355,2022-02-25
Uniswap,Uniswap v3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.9422969305744617,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,3773.9271941823795,2,4737.629239507114,2022-02-24
Uniswap,Uniswap v3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.4984961126057077,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,2772.4085382197777,6,3973.008160328709,2022-02-23
Uniswap,Uniswap v3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2890.0,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,1991.6947586299868,1,2890.8506071567535,2022-02-23
Uniswap,Uniswap v3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6.722309278469361,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,12392.495181988927,5,16949.736673435436,2022-02-22
Uniswap,Uniswap v3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,5805.801266,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,3852.8162428019823,2,5775.431835904395,2022-02-21
Uniswap,Uniswap v3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19.560123226079526,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,34337.50308258563,6,52185.83384213796,2022-02-20
Uniswap,Uniswap v3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,5318.96194,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,3573.581846070609,2,5279.67455748242,2022-02-20
Uniswap,Uniswap v3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9.845513222052299,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,17200.67223119,4,26859.125325067795,2022-02-19
Uniswap,Uniswap v3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1600.0,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,1017.912530480688,1,1600.4478454589844,2022-02-19
Uniswap,Uniswap v3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,17.44845114718756,1,29.015320109243042,2022-02-18
